Date,Open,High,Low,Close,Volume
2021-06-02,620.13,623.36,599.14,605.12,23302779
2021-06-01,627.8,633.8,620.55,623.9,18084890
2021-05-28,628.5,635.59,622.38,625.22,22737038
2021-05-27,620.24,631.13,616.21,630.85,26370593
2021-05-26,607.56,626.17,601.5,619.13,28639305
2021-05-25,607.31,613.99,595.71,604.69,28005933
2021-05-24,581.6,614.48,573.65,606.44,34558089
2021-05-21,596.11,596.68,580.0,580.88,26030595
2021-05-20,575.0,588.85,571.07,586.78,30821119
2021-05-19,552.55,566.21,546.98,563.46,39578395
2021-05-18,568.0,596.25,563.38,577.87,36830567
2021-05-17,575.5531,589.73,561.2,576.83,32390360
2021-05-14,583.41,592.87,570.46,589.74,33370856
2021-05-13,601.545,606.4599,559.65,571.69,44184916
2021-05-12,602.49,620.41,586.765,589.89,33823646
2021-05-11,599.24,627.0999,595.6,617.2,46503896
2021-05-10,664.9,665.05,627.6101,629.04,31392417
2021-05-07,665.8,690.0,660.22,672.37,23469172
2021-05-06,680.76,681.02,650.0,663.54,27784619
2021-05-05,681.06,685.2955,667.34,670.94,21901894
2021-05-04,678.94,683.4464,657.701,673.6,29739319
2021-05-03,703.8,706.0,680.5,684.9,27043143
2021-04-30,667.59,715.47,666.14,709.44,40758722
2021-04-29,699.51,702.25,668.5002,677.0,28845449
2021-04-28,696.41,708.5,693.6,694.4,22271047
2021-04-27,717.96,724.0,703.3501,704.74,29436995
2021-04-26,741.0,749.3,732.6053,738.2,31038502
2021-04-23,719.8,737.36,715.46,729.4,28413889
2021-04-22,741.5,753.77,718.04,719.69,35590255
2021-04-21,704.77,744.84,698.0,744.12,31215514
2021-04-20,717.42,737.25,710.685,718.99,35609038
2021-04-19,719.6,725.4,691.8001,714.63,39686226
2021-04-16,728.65,749.41,724.6,739.78,27979526
2021-04-15,743.1,743.69,721.31,738.85,27848900
2021-04-14,770.7,780.79,728.03,732.23,49017434
2021-04-13,712.7,763.0,710.66,762.32,44652808
2021-04-12,685.7,704.8,682.09,701.98,29135670
2021-04-09,677.77,680.97,669.43,677.02,21437087
2021-04-08,677.38,689.5499,671.645,683.8,23924329
2021-04-07,687.0,691.38,667.84,670.97,26309433
2021-04-06,690.3,696.55,681.37,691.62,28271839
2021-04-05,707.71,708.16,684.7,691.05,41842767
2021-04-01,688.37,692.4203,659.42,661.75,35298378
2021-03-31,646.62,672.0,641.11,667.93,33337288
2021-03-30,601.75,637.66,591.01,635.62,39432359
2021-03-29,615.64,616.48,596.02,611.29,28636985
2021-03-26,641.87,643.82,599.89,618.71,33852827
2021-03-25,613.0,645.5,609.5,640.39,39224850
2021-03-24,667.91,668.02,630.11,630.27,33795174
2021-03-23,675.77,677.8,657.51,662.16,30491870
2021-03-22,684.59,699.62,668.75,670.0,39512221
2021-03-19,646.6,657.23,624.6201,654.87,42893978
2021-03-18,684.29,689.23,652.0,653.16,33369022
2021-03-17,656.87,703.73,651.01,701.81,40372453
2021-03-16,703.35,707.92,671.0,676.88,32195672
2021-03-15,694.09,713.18,684.04,707.94,29423479
2021-03-12,670.0,694.88,666.1394,693.73,33583840
2021-03-11,699.4,702.5,677.18,699.6,36253892
2021-03-10,700.65,717.85,655.06,668.06,60605672
2021-03-09,608.18,678.09,595.21,673.58,67523328
2021-03-08,600.55,620.125,558.79,563.0,51786958
2021-03-05,626.06,627.8419,539.49,597.95,89396459
2021-03-04,655.8,873.94,600.0,621.44,65919530
2021-03-03,687.99,700.7,651.705,653.2,30207960
2021-03-02,718.28,721.11,685.0,686.44,23732158
2021-03-01,690.11,872.0,685.05,718.43,27136239
2021-02-26,700.0,706.7,659.51,675.5,41089173
2021-02-25,726.15,737.2066,670.58,682.22,39023855
2021-02-24,711.85,745.0,694.17,742.02,36766950
2021-02-23,662.13,713.6099,619.0,698.84,66606882
2021-02-22,762.64,768.5,710.2,714.5,37269716
2021-02-19,795.0,796.7899,777.37,781.3,18958255
2021-02-18,780.9,794.69,776.27,787.38,17957058
2021-02-17,779.09,799.84,762.01,798.15,26078898
2021-02-16,818.0,821.0,792.44,796.22,19802324
2021-02-12,801.26,817.33,785.3306,816.12,23768313
2021-02-11,812.44,829.8799,801.725,811.66,21622753
2021-02-10,843.635,844.82,800.02,804.82,36216090
2021-02-09,855.12,859.8,841.75,849.46,15157651
2021-02-08,869.67,877.77,854.75,863.42,20161719
2021-02-05,845.0,864.77,838.97,852.23,18566637
2021-02-04,855.0,856.5,833.42,849.99,15812661
2021-02-03,877.02,878.08,853.0646,854.69,18343510
2021-02-02,844.68,880.5,842.2006,872.79,24346213
2021-02-01,814.29,842.0,795.5601,839.81,25391385
2021-01-29,830.0003,842.41,780.1,793.53,34990754
2021-01-28,820.0,848.0,801.0,835.43,26378048
2021-01-27,870.35,891.5,858.66,864.16,27333955
2021-01-26,891.38,895.9,871.6,883.09,23131603
2021-01-25,855.0,900.4,838.8201,880.8,41173397
2021-01-22,834.31,848.0,828.62,846.64,20066497
2021-01-21,855.0,855.7199,841.4201,844.99,20598133
2021-01-20,858.74,859.5,837.28,850.45,25665883
2021-01-19,837.8,850.0,833.0,844.55,25366980
2021-01-15,852.0,859.9,819.1,826.16,38777596
2021-01-14,843.39,863.0,838.75,845.0,31266327
2021-01-13,852.76,860.47,832.0,854.41,33312496
2021-01-12,831.0,868.0,827.34,849.44,46270720
2021-01-11,849.4,854.43,803.6222,811.19,59554146
2021-01-08,856.0,884.49,838.39,880.02,75055528
2021-01-07,777.63,816.99,775.2,816.04,51498948
2021-01-06,758.49,774.0,749.1,755.98,44699965
2021-01-05,723.66,740.84,719.2,735.11,32245165
2021-01-04,719.46,744.4899,717.1895,729.77,48638189
2020-12-31,699.99,718.72,691.12,705.67,49649928
2020-12-30,672.0,696.6,668.3603,694.78,42846021
2020-12-29,661.0,669.9,655.0,665.99,22910811
2020-12-28,674.51,681.4,660.8,663.69,32278561
2020-12-24,642.99,666.09,641.0,661.77,22865568
2020-12-23,632.2,651.4999,622.5701,645.98,33172972
2020-12-22,648.0,649.88,614.23,640.34,51861644
2020-12-21,666.24,668.5,646.07,649.86,58045264
2020-12-18,668.9,695.0,628.54,695.0,222126194
2020-12-17,628.19,658.82,619.5,655.9,56270144
2020-12-16,628.23,632.5,605.0,622.77,42095813
2020-12-15,643.28,646.9,623.8,633.25,45223559
2020-12-14,619.0,642.7499,610.2001,639.83,52040649
2020-12-11,615.01,624.0,596.8,609.99,46474974
2020-12-10,574.37,627.75,566.34,627.07,67083153
2020-12-09,653.69,654.32,588.0,604.48,71009195
2020-12-08,625.505,651.28,618.5,649.88,63976555
2020-12-07,604.9197,648.7856,603.05,641.76,55988303
2020-12-04,591.01,599.04,585.5,599.04,29401314
2020-12-03,590.02,598.97,582.43,593.38,42552003
2020-12-02,556.44,571.54,541.21,568.82,47775653
2020-12-01,597.59,597.85,572.05,584.76,40382832
2020-11-30,602.21,607.8,554.51,567.6,63003052
2020-11-27,581.16,598.78,578.45,585.76,37561078
2020-11-25,550.06,574.0,545.37,574.0,48930162
2020-11-24,540.4,559.99,526.2,555.38,53648494
2020-11-23,503.5,526.0,501.79,521.85,50260304
2020-11-20,497.99,502.5,489.06,489.61,32911922
2020-11-19,492.0,508.6112,487.57,499.27,62475346
2020-11-18,448.35,496.0,443.5001,486.64,78044024
2020-11-17,460.17,462.0,433.01,441.61,61188281
2020-11-16,408.93,412.45,404.0868,408.09,26838635
2020-11-13,410.85,412.5319,401.66,408.5,19830351
2020-11-12,415.05,423.0,409.52,411.76,19940500
2020-11-11,416.45,418.695,410.58,417.13,17357722
2020-11-10,420.09,420.09,396.0301,410.36,30284224
2020-11-09,439.5,452.5,421.0,421.26,34833025
2020-11-06,436.1,436.57,424.28,429.95,21706014
2020-11-05,428.3,440.0,424.0001,438.09,28414523
2020-11-04,430.62,435.4,417.1,420.98,32143057
2020-11-03,409.73,427.77,406.69,423.9,34351715
2020-11-02,394.0,406.9799,392.3,400.51,29021118
2020-10-30,406.8954,407.5915,379.11,388.04,42587639
2020-10-29,409.96,418.06,406.46,410.83,22655308
2020-10-28,416.48,418.6,406.0,406.02,25451409
2020-10-27,423.76,430.5,420.1,424.68,22686506
2020-10-26,411.63,425.76,410.0,420.28,28239161
2020-10-23,421.84,422.8859,407.3801,420.63,33716980
2020-10-22,441.92,445.23,424.51,425.79,39993191
2020-10-21,422.7,432.95,421.25,422.64,32370461
2020-10-20,431.75,431.75,419.0501,421.94,31656289
2020-10-19,446.24,447.0,428.87,430.83,36287843
2020-10-16,454.44,455.9499,438.85,439.67,32775879
2020-10-15,450.31,456.57,442.5,448.88,35672354
2020-10-14,449.78,465.9,447.35,461.3,48045394
2020-10-13,443.35,448.89,436.6,446.65,34463665
2020-10-12,442.0,448.74,438.58,442.3,38791133
2020-10-09,430.13,434.5899,426.4601,434.0,28925656
2020-10-08,438.44,439.0,425.3,425.92,40421116
2020-10-07,419.87,429.9,413.845,425.3,43127709
2020-10-06,423.79,428.7799,406.05,413.98,49146259
2020-10-05,423.35,433.64,419.33,425.68,44722786
2020-10-02,421.39,439.13,415.0,415.09,71430025
2020-10-01,440.76,448.88,434.42,448.16,50741454
2020-09-30,421.32,433.93,420.47,429.01,48145566
2020-09-29,416.0,428.5,411.6,419.07,50341404
2020-09-28,424.62,428.08,415.55,421.2,49719561
2020-09-25,393.47,408.7323,391.3,407.34,67208459
2020-09-24,363.8,399.5,351.3,387.79,96561061
2020-09-23,405.16,412.15,375.8801,380.36,95074176
2020-09-22,429.6,437.76,417.6001,424.23,79580795
2020-09-21,453.13,455.68,407.07,449.39,109476800
2020-09-18,447.94,451.0,428.8,442.15,86406819
2020-09-17,415.6,437.79,408.0001,423.43,76779163
2020-09-16,439.87,457.79,435.31,441.76,72546760
2020-09-15,436.56,461.94,430.7,449.76,97298228
2020-09-14,380.95,420.0,373.3,419.62,83020608
2020-09-11,381.94,382.5,360.5,372.72,60717459
2020-09-10,386.21,398.99,360.56,371.34,84930608
2020-09-09,356.6,369.0,341.51,366.28,79465769
2020-09-08,356.0,368.74,329.88,330.21,115465691
2020-09-04,402.81,428.0,372.0201,418.32,110321885
2020-09-03,407.23,431.8,402.0,407.0,87596086
2020-09-02,478.99,479.04,405.1206,447.37,96176128
2020-09-01,502.14,502.49,470.51,475.05,90119419
2020-08-31,444.61,500.14,440.11,498.32,118374406
2020-08-28,459.02,463.7,437.3,442.68,100405880
2020-08-27,436.09,459.12,428.5,447.75,118465215
2020-08-26,412.0,433.2,410.73,430.63,71196910
2020-08-25,394.98,405.59,393.6,404.67,53294465
2020-08-24,425.26,425.8,385.5,402.84,100318105
2020-08-21,408.95,419.1,405.01,410.0,107447795
2020-08-20,372.14,404.4,371.41,400.37,103058980
2020-08-19,373.0,382.2,368.24,375.71,61026655
2020-08-18,379.8,384.78,369.02,377.42,82372455
2020-08-17,335.4,369.17,334.57,367.13,101211615
2020-08-14,333.0,333.76,325.33,330.14,62888070
2020-08-13,322.2,330.24,313.45,324.2,102126540
2020-08-12,294.0,317.0,287.0,310.95,109494170
2020-08-11,279.2,284.0,273.0,274.88,43129170
2020-08-10,289.6,291.5,277.17,283.71,37611320
2020-08-07,299.91,299.95,283.0,290.54,44482100
2020-08-06,298.17,303.46,295.45,297.92,29961565
2020-08-05,298.6,299.97,293.66,297.0,24890075
2020-08-04,299.0,305.48,292.4,297.4,42074950
2020-08-03,289.84,301.96,288.88,297.0,44046730
2020-07-31,303.0,303.41,284.2,286.15,61234800
2020-07-30,297.6,302.65,294.2,297.5,38105195
2020-07-29,300.2,306.96,297.4,299.82,47134465
2020-07-28,300.8,312.94,294.88,295.3,79043500
2020-07-27,287.0,309.59,282.6,307.92,80243345
2020-07-24,283.2,293.0,273.31,283.4,96983080
2020-07-23,335.79,337.8,296.15,302.61,121642520
2020-07-22,319.8,325.28,312.4,318.47,70805400
2020-07-21,327.99,335.0,311.6,313.67,80786400
2020-07-20,303.8,330.0,297.6,328.6,85606835
2020-07-17,302.69,307.5,298.0,300.17,46649860
2020-07-16,295.43,306.34,293.2,300.13,71503925
2020-07-15,308.6,310.0,291.4,309.2,81839145
2020-07-14,311.2,318.0,286.2,303.36,117090700
2020-07-13,331.8,359.0,294.22,299.41,194926810
2020-07-10,279.2,309.78,275.2,308.93,116687765
2020-07-09,279.4,281.71,270.26,278.86,58587990
2020-07-08,281.0,283.45,262.27,273.18,81556560
2020-07-07,281.0,285.9,267.34,277.97,107448305
2020-07-06,255.34,275.56,253.21,274.32,102849320
2020-07-02,244.3,245.6,237.12,241.73,86250575
2020-07-01,216.6,227.07,216.1,223.93,66634480
2020-06-30,201.3,217.54,200.75,215.96,84592505
2020-06-29,193.8,202.0,189.7,201.87,45132020
2020-06-26,198.96,199.0,190.97,191.95,44274540
2020-06-25,190.85,197.2,187.43,197.2,46272745
2020-06-24,198.82,200.18,190.63,192.17,54797965
2020-06-23,199.78,202.4,198.8,200.36,31826355
2020-06-22,199.99,201.78,198.0,198.86,31811750
2020-06-19,202.56,203.19,198.27,200.18,43398745
2020-06-18,200.6,203.84,198.89,200.79,48759680
2020-06-17,197.54,201.0,196.51,198.36,49454000
2020-06-16,202.37,202.58,192.48,196.43,70255390
2020-06-15,183.56,199.77,181.7,198.18,78485890
2020-06-12,196.0,197.6,182.52,187.06,83816870
2020-06-11,198.04,203.79,194.4,194.57,79582410
2020-06-10,198.38,205.5,196.5,205.01,92817065
2020-06-09,188.0,190.89,184.79,188.13,56940770
2020-06-08,183.8,190.0,181.83,189.98,70873635
2020-06-05,175.57,177.3,173.24,177.13,39059585
2020-06-04,177.98,179.15,171.69,172.88,44438565
2020-06-03,177.62,179.59,176.02,176.59,39747345
2020-06-02,178.94,181.73,174.2,176.31,67827980
2020-06-01,171.6,179.8,170.82,179.62,75426485
2020-05-29,161.75,167.0,160.84,167.0,59062445
2020-05-28,162.7,164.95,160.34,161.16,36378870
2020-05-27,164.17,165.54,157.0,164.05,57747650
2020-05-26,166.9,166.92,163.14,163.77,40448680
2020-05-22,164.43,166.36,162.4,163.38,49937375
2020-05-21,163.2,166.5,159.2,165.52,61272920
2020-05-20,164.1,165.2,162.36,163.11,36546355
2020-05-19,163.03,164.41,161.22,161.6,48182610
2020-05-18,165.56,166.94,160.78,162.73,58490510
2020-05-15,158.07,161.01,157.31,159.83,52592140
2020-05-14,156.0,160.67,152.8,160.67,68410940
2020-05-13,164.17,165.2,152.66,158.19,95327455
2020-05-12,165.4,168.66,161.6,161.88,79534525
2020-05-11,158.1,164.8,157.0,162.26,82598005
2020-05-08,158.75,164.8,157.4,163.88,80650435
2020-05-07,155.44,159.28,154.47,156.01,57638430
2020-05-06,155.3,157.96,152.22,156.52,55616155
2020-05-05,157.96,159.78,152.44,153.64,84958280
2020-05-04,140.2,152.4,139.6,152.24,96185450
2020-05-01,151.0,154.55,136.61,140.26,162659035
2020-04-30,171.04,173.96,152.7,156.38,142359270
2020-04-29,158.03,160.64,156.63,160.1,81079910
2020-04-28,159.13,161.0,151.34,153.82,76109820
2020-04-27,147.52,159.9,147.0,159.75,103407210
2020-04-24,142.16,146.15,139.64,145.03,66188060
2020-04-23,145.52,146.8,140.63,141.13,66183485
2020-04-22,140.8,146.8,137.74,146.42,71124155
2020-04-21,146.02,150.67,134.76,137.34,101045465
2020-04-20,146.54,153.11,142.44,149.27,73732885
2020-04-17,154.46,154.99,149.53,150.78,65641185
2020-04-16,143.39,151.89,141.34,149.04,103289310
2020-04-15,148.4,150.63,142.0,145.97,117885005
2020-04-14,139.79,148.38,138.49,141.98,152882555
2020-04-13,118.03,130.4,116.11,130.19,112377105
2020-04-09,112.42,115.04,111.42,114.6,68250000
2020-04-08,110.84,111.44,106.67,109.77,63280120
2020-04-07,109.0,113.0,106.47,109.09,89598920
2020-04-06,102.24,104.2,99.59,103.25,74509180
2020-04-03,101.9,103.1,93.678,96.002,112810380
2020-04-02,96.206,98.852,89.28,90.894,99292135
2020-04-01,100.8,102.79,95.02,96.312,66765900
2020-03-31,100.25,108.59,99.4,104.8,88857425
2020-03-30,102.05,103.33,98.246,100.43,59990335
2020-03-27,101.0,105.16,98.806,102.87,71887040
2020-03-26,109.48,112.0,102.45,105.63,87110410
2020-03-25,109.05,111.4,102.22,107.85,106113725
2020-03-24,95.46,102.74,94.8,101.0,114475850
2020-03-23,86.72,88.4,82.1,86.858,82272745
2020-03-20,87.64,95.4,85.158,85.506,141427510
2020-03-19,74.939,90.4,71.692,85.528,150977300
2020-03-18,77.8,80.972,70.102,72.244,118930810
2020-03-17,88.002,94.37,79.2,86.04,119972900
2020-03-16,93.9,98.974,88.434,89.014,102447320
2020-03-13,119.0,121.51,100.4,109.32,113201270
2020-03-12,116.18,118.9,109.25,112.11,94545260
2020-03-11,128.04,130.72,122.6,126.85,67067935
2020-03-10,131.89,133.6,121.6,129.07,77972215
2020-03-09,121.08,132.6,121.0,121.6,85368700
2020-03-06,138.0,141.4,136.85,140.7,63314590
2020-03-05,144.75,149.15,143.61,144.91,54263285
2020-03-04,152.79,153.3,144.95,149.9,75244885
2020-03-03,161.0,161.4,143.22,149.1,128920015
2020-03-02,142.25,148.74,137.33,148.72,100974955
2020-02-28,125.94,138.1,122.3,133.6,122820855
2020-02-27,146.0,147.95,133.8,135.8,121385800
2020-02-26,156.5,162.66,155.22,155.76,70769215
2020-02-25,169.8,171.32,157.4,159.98,86452405
2020-02-24,167.8,172.7,164.44,166.76,75960815
2020-02-21,181.4,182.61,176.09,180.2,71697230
2020-02-20,182.39,182.4,171.99,179.88,88174465
2020-02-19,184.7,188.96,180.2,183.48,127114790
2020-02-18,168.32,172.0,166.47,171.68,83491845
2020-02-14,157.44,162.59,157.1,160.01,78468555
2020-02-13,148.37,163.6,147.0,160.8,131446740
2020-02-12,155.57,157.95,152.67,153.46,60112350
2020-02-11,153.76,156.7,151.6,154.88,58487365
2020-02-10,160.0,164.0,150.48,154.26,123445815
2020-02-07,146.11,153.95,146.0,149.61,85317605
2020-02-06,139.98,159.17,137.4,149.79,199403760
2020-02-05,164.65,169.2,140.82,146.94,242119185
2020-02-04,176.59,193.8,166.78,177.41,304693790
2020-02-03,134.74,157.23,134.7,156.0,236167475
2020-01-31,128.0,130.6,126.5,130.11,78596330
2020-01-30,126.48,130.18,123.6,128.16,145028380
2020-01-29,115.14,117.96,113.49,116.2,91083360
2020-01-28,113.7,115.36,111.62,113.38,58942465
2020-01-27,108.4,112.89,107.86,111.6,68040340
2020-01-24,114.13,114.77,110.85,112.96,71768000
2020-01-23,112.85,116.4,111.12,114.44,98255210
2020-01-22,114.38,118.9,111.82,113.91,156845140
2020-01-21,106.05,109.72,105.68,109.44,89017355
2020-01-17,101.52,103.13,100.63,102.1,68145365
2020-01-16,98.75,102.89,98.434,102.7,108683265
2020-01-15,105.95,107.57,103.36,103.7,86844155
2020-01-14,108.85,109.48,104.98,107.58,145306885
2020-01-13,98.7,105.13,98.4,104.97,133172735
2020-01-10,96.358,96.988,94.74,95.63,64884160
2020-01-09,99.42,99.76,94.574,96.268,142315930
2020-01-08,94.74,99.7,93.646,98.428,155996965
2020-01-07,92.28,94.326,90.671,93.812,91045690
2020-01-06,88.094,90.312,88.0,90.308,50787495
2020-01-03,88.1,90.8,87.384,88.602,88973485
2020-01-02,84.9,86.139,84.342,86.052,47791930
